"","rid","rh13_e","rh13_c","EsufS_e","EsoilS_e","EsufS_c","EsoilS_c","q_eraS_e","q_eraS_c","P_eraS_c","P_eraS_e","dppt13_e","prev_str01","stream","prev_str02","dex_riv_pred","dex_riv_pred_SE"
"1",1,37.1592,37.1592,40974773.6694,67731587.7776,40974773.6694,67731587.7776,90074030.0651,90074030.0651,279027073.418,279027073.418,9.5773,0,1,0,8.60321806323537,2.8243285965632
"2",2,34.9252,34.9252,17369852.8154,48564397.2241,17369852.8154,48564397.2241,91873147.5107,91873147.5107,217899148.0957,217899148.0957,10.2323,0,2,0,8.96880230750444,2.86657196807847
"3",3,35.9095,35.9095,10516348.5969,32388908.4688,10516348.5969,32388908.4688,50703707.8311,50703707.8311,132338658.2988,132338658.2988,10.3734,0,3,0,9.50640637887174,2.86976799789826
"4",4,40.4217,40.4217,6336613.6836,20092256.3164,6336613.6836,20092256.3164,56985666.6846,56985666.6846,111129148.3281,111129148.3281,9.7701,0,4,0,10.614050473815,2.86688009819807
"5",5,35.34,35.34,24340313.5198,49799835.7231,24340313.5198,49799835.7231,20304704.6324,20304704.6324,143624206.0898,143624206.0898,10.7383,0,5,0,9.32258285570641,2.86399345144222
"6",6,48.7287,48.7287,15147489.217,49190421.9849,15147489.217,49190421.9849,77373813.1719,77373813.1719,195868403.2383,195868403.2383,9.1871,0,6,0,12.853536609769,2.85899679712595
"7",7,37.6274,37.6274,5301183.4093,16081001.3179,5301183.4093,16081001.3179,56819599.502,56819599.502,101499740.6289,101499740.6289,9.5462,0,7,0,8.9133171841821,2.84364558191246
"8",8,34.2271,34.2271,49363619.2803,46331863.3369,49363619.2803,46331863.3369,7626413.3229,7626413.3229,139538558.2773,139538558.2773,9.2855,0,8,0,6.66543689628841,2.79050025141258
"9",9,31.9932,37.9029768111849,2610290.9191,9400272.1333,14248088.012,45573529.7676,19702023.2148,133507289.4014,255011628.625,42382739.668,9.4126,7,9,4,9.20600194586199,2.84956775292618
"10",10,43.9796,43.9796,13889528.3682,39780598.0381,13889528.3682,39780598.0381,77290432.2461,77290432.2461,182007397.5391,182007397.5391,8.9034,0,10,0,10.0830072112102,2.81833372764368
"11",11,42.2932,42.2932,15011978.2505,16816358.7666,15011978.2505,16816358.7666,41663040.4316,41663040.4316,92661596.418,92661596.418,10.1295,0,11,0,10.6740286790566,2.89286860620313
"12",12,46.2658,46.2658,16446769.5603,37796059.2271,16446769.5603,37796059.2271,39368409.7739,39368409.7739,133503847.0137,133503847.0137,9.2973,0,12,0,12.0323474393347,2.85044301119911
"13",13,35.0395,35.0395,30066147.8538,65006470.0781,30066147.8538,65006470.0781,37723092.4041,37723092.4041,197827707.3555,197827707.3555,9.7506,0,13,0,9.48180944290547,1.91956428947246
"14",14,36.7504,36.7504,8656406.6805,26432149.3154,8656406.6805,26432149.3154,68851977.3408,68851977.3408,136586137.6211,136586137.6211,9.7292,0,14,0,8.85367926827253,2.84898169222448
"15",15,35.4413,36.6687779342207,18284003.0913,65781335.1758,41188497.7838,137787014.2588,93485913.959,295845180.7012,638915756.2852,247317990.0391,9.7642,9,15,14,8.78383839112611,2.84615298382576
"16",16,36.5343,36.5343,33217248.3506,61917778.834,33217248.3506,61917778.834,54618068.4058,54618068.4058,213714050.7031,213714050.7031,9.7064,0,16,0,6.89485733267304,2.83472576751401
"17",17,38.0574,38.0574,24394326.7195,39524403.3037,24394326.7195,39524403.3037,45862706.1505,45862706.1505,156589885.7207,156589885.7207,9.1726,0,17,0,8.20216672881471,2.80398643060797
"18",18,33.7876,33.7876,19944298.499,18017254.9023,19944298.499,18017254.9023,10736154.4015,10736154.4015,65451709.7305,65451709.7305,9.2018,0,18,0,6.39242363283885,2.79555118298435
"19",19,40.6103,40.6103,9460225.5703,13582943.6313,9460225.5703,13582943.6313,18296473.1863,18296473.1863,57645671.5449,57645671.5449,9.4252,0,19,0,9.86327909728073,2.82926609119278
"20",20,31.6267,36.0252905677825,5619431.3457,6807236.7778,35023955.415,38407435.3114,1467693.6034,30500321.1912,140986247.1563,17888865.8809,9.0837,19,20,18,7.48314986098418,2.80041422270128
"21",21,38.1499,38.1499,13525632.7278,24961597.8213,13525632.7278,24961597.8213,8927868.4547,8927868.4547,70483996.2656,70483996.2656,9.2436,0,21,0,8.35539864992667,2.8056457674939
"22",22,38.7006,38.7006,40895160.2637,34439827.891,40895160.2637,34439827.891,61278465.613,61278465.613,176103907.1973,176103907.1973,9.7374,0,22,0,8.29012289448478,2.84095595998928
"23",23,36.0919,36.0919,39460545.2222,72515165.5366,39460545.2222,72515165.5366,66180950.6595,66180950.6595,253954722.8359,253954722.8359,9.6092,0,23,0,6.56154287195436,2.82833388941665
"24",24,26.1971,26.1971,68818123.4785,22008430.7751,68818123.4785,22008430.7751,9138641.3288,9138641.3288,121353119.627,121353119.627,9.6974,0,24,0,3.62121442189084,2.80612005373733
"25",25,31.7116,31.7116,24774134.1873,36315323.2359,24774134.1873,36315323.2359,24471166.6556,24471166.6556,119483125.6035,119483125.6035,9.4898,0,25,0,5.99654024798098,2.80600135993033
"26",26,41.4037,41.4037,19845286.4146,30627647.0366,19845286.4146,30627647.0366,68711315.0039,68711315.0039,154877757.8574,154877757.8574,10.0614,0,26,0,10.0568839727434,2.88150960347942
